City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,matias romero,16.8833,-95.0333,22.11,85,0,2.22,MX,1739330568
83,sandnessjoen,66.0217,12.6316,3.56,78,100,9.49,NO,1739330569
84,georgetown,5.4112,100.3354,29.97,62,20,2.57,MY,1739330470
85,kirakira,-10.4544,161.9205,29.06,77,100,3.41,SB,1739330571
86,fort st. john,56.2499,-120.8529,-12.06,79,100,1.03,CA,1739330572
87,port blair,11.6667,92.75,28.02,69,40,3.09,IN,1739330573
88,san antonio de pale,-1.4014,5.6325,27.73,78,100,5.1,GQ,1739330575
89,tuy hoa,13.0833,109.3,23.84,85,100,1.58,VN,1739330576
90,kalaleh,37.3807,55.4916,-0.22,93,0,0.0,IR,1739330580
91,margate,51.3813,1.3862,3.72,88,100,4.22,GB,1739330581
92,aswan,24.0934,32.907,12.08,43,97,5.77,EG,1739330582
93,yellowknife,62.456,-114.3525,-28.58,76,0,2.57,CA,1739330583
94,port mathurin,-19.6833,63.4167,27.56,77,43,2.98,MU,1739330584
95,ust-nera,64.5667,143.2,-21.13,95,100,3.27,RU,1739330585
96,hagenow,53.4333,11.1833,-2.57,65,10,5.21,DE,1739330586
97,vilyuysk,63.7553,121.6247,-21.18,100,99,0.29,RU,1739330587
98,saguenay,48.4168,-71.0657,-14.54,78,75,5.14,CA,1739330588
99,tafuna,-14.3358,-170.72,31.97,66,40,3.6,AS,1739330589
100,iqaluit,63.7506,-68.5145,-29.06,68,100,11.83,CA,1739330591
101,la romana,18.4273,-68.9728,22.2,94,75,0.0,DO,1739330592
102,frankfort,-27.2667,28.4833,13.34,98,34,2.71,ZA,1739330593
103,boa vista,2.8197,-60.6733,26.99,65,40,5.14,BR,1739330306
104,kudahuvadhoo,2.6708,72.8944,27.06,80,100,5.79,MV,1739330595
105,ceeldheer,3.8488,47.1806,23.32,83,98,6.56,SO,1739330596
106,neelankarai,12.9455,80.2575,26.28,83,20,1.54,IN,1739330597
107,simanggang,1.2472,111.4528,28.99,79,40,1.03,MY,1739330598
108,pacific grove,36.6177,-121.9166,10.37,82,100,1.79,US,1739330599
109,lionel town,17.8101,-77.2406,24.66,81,100,4.13,JM,1739330600
110,yelizovo,53.1873,158.3805,-3.92,39,0,10.0,RU,1739330602
111,port alfred,-33.5906,26.891,19.28,85,2,8.0,ZA,1739330603
112,perechyn,48.7333,22.4667,-1.01,56,0,1.31,UA,1739330604
113,bredasdorp,-34.5322,20.0403,17.06,92,0,2.38,ZA,1739330605
114,port lincoln,-34.7333,135.8667,32.94,37,73,6.24,AU,1739330606
115,wailua homesteads,22.0669,-159.378,24.44,84,0,3.09,US,1739330607
116,udachny,66.4167,112.4,-24.98,100,100,2.4,RU,1739330608
117,tshikapa,-6.4167,20.8,21.72,90,100,1.19,CD,1739330609
118,olonkinbyen,70.9221,-8.7187,-5.29,58,32,1.71,SJ,1739330610
119,yeppoon,-23.1333,150.7333,28.03,71,0,5.99,AU,1739330611
120,salahonda,2.1019,-78.7217,25.41,83,99,2.11,CO,1739330612
121,hawaiian paradise park,19.5933,-154.9731,25.73,77,20,3.09,US,1739330613
122,gadzhiyevo,69.2551,33.3362,-0.5,74,86,12.79,RU,1739330615
123,uvira,-3.4067,29.1458,22.55,84,100,0.83,CD,1739330616
124,dzhambeyty,50.2536,52.595,-13.02,90,18,2.74,KZ,1739330617
125,chernyshevskiy,63.0128,112.4714,-19.53,100,100,1.78,RU,1739330618
126,choele choel,-39.2667,-65.6833,20.02,19,0,6.31,AR,1739330619
127,codrington,-38.2667,141.9667,32.43,32,17,6.06,AU,1739330620
128,gunupur,19.0833,83.8167,25.74,55,15,0.9,IN,1739330621
129,ca mau,9.1769,105.15,32.51,45,75,2.42,VN,1739330622
130,batken,39.8333,71.0,-9.22,55,20,3.37,KG,1739330623
131,g'azalkent,41.5581,69.7708,0.94,95,100,0.81,UZ,1739330625
132,margaret river,-33.95,115.0667,18.1,61,84,7.3,AU,1739330626
133,hamilton,39.1834,-84.5333,-0.06,92,100,6.69,US,1739330565
134,macapa,0.0389,-51.0664,25.99,94,40,2.57,BR,1739330467
135,kamaishi,39.2667,141.8833,3.92,53,100,3.97,JP,1739330477
136,shubarshi,48.5872,57.1869,-8.83,96,99,2.02,KZ,1739330631
137,nishinoomote,30.7333,131.0,16.31,88,75,6.69,JP,1739330632
138,al hudaydah,14.7978,42.9545,23.36,86,5,4.84,YE,1739330633
139,mooroopna,-36.4,145.35,34.2,23,0,3.84,AU,1739330635
140,dausa,26.8833,76.3333,17.9,35,4,1.95,IN,1739330636
141,severo-yeniseyskiy,60.3725,93.0408,-10.9,91,100,5.83,RU,1739330637
142,dakhla,23.6848,-15.958,16.48,74,0,9.42,EH,1739330638
143,hanzhong,33.0728,107.0303,7.55,20,100,1.46,CN,1739330498
144,souillac,-20.5167,57.5167,25.21,94,20,1.54,MU,1739330640
145,suva,-18.1416,178.4415,30.71,70,40,3.6,FJ,1739330461
146,nogliki,51.8333,143.1667,-9.19,79,87,6.49,RU,1739330534
147,nongstoin,25.5167,91.2667,15.85,34,0,3.52,IN,1739330643
148,sorochinsk,52.4338,53.1583,-18.62,100,40,1.53,RU,1739330645
149,viana do castelo,41.6932,-8.8329,11.52,85,86,4.15,PT,1739330646
150,az zuwaytinah,30.9522,20.1202,12.64,58,1,4.43,LY,1739330647
151,tralee,52.2704,-9.7026,6.04,90,100,5.73,IE,1739330648
152,kushiro,42.975,144.3747,0.53,64,75,8.23,JP,1739330649
153,iskateley,67.6803,53.1512,-7.38,96,98,1.82,RU,1739330650
154,semey,50.4111,80.2275,-11.88,79,0,3.0,KZ,1739330651
155,howrah,22.5892,88.3103,23.0,83,40,0.0,IN,1739330652
156,nizao,18.25,-70.2,23.49,78,43,5.94,DO,1739330653
157,la gi,10.6667,107.7833,28.29,67,100,2.39,VN,1739330654
158,salalah,17.0151,54.0924,23.05,78,75,1.54,OM,1739330657
159,dwarka,22.2394,68.9678,21.62,78,0,4.45,IN,1739330658
160,vadso,70.0744,29.7487,-1.91,86,37,13.89,NO,1739330659
161,new norfolk,-42.7826,147.0587,29.95,32,5,1.61,AU,1739330617
162,klaksvik,62.2266,-6.589,6.37,73,6,8.72,FO,1739330661
163,gerash,27.6652,54.1371,12.08,47,100,1.04,IR,1739330662
164,rudbar,30.15,62.6,9.56,35,29,1.53,AF,1739330663
165,carnarvon,-24.8667,113.6333,24.91,37,98,12.35,AU,1739330664
166,franeker,53.1855,5.5412,1.1,95,100,4.12,NL,1739330665
167,tolanaro,-25.0319,46.9987,26.04,94,40,2.06,MG,1739330666
168,burang,30.25,81.1667,-14.51,81,32,2.04,CN,1739330667
